taxon_oid,Domain,Status,Study_Name,Genome_Name_/_Sample_Name,Sequencing_Center,IMG_Genome_ID_,Altitude,Depth,Ecosystem,Ecosystem_Category,Ecosystem_Subtype,Ecosystem_Type,Ecotype,Habitat,pH,Salinity,Genome_Size___*_assembled,Gene_Count___*_assembled,DSAda,CheAs,CheA_per
3300003223,*Microbiome,Draft,"Bog forest soil microbial communities from Calvert Island, British Columbia, Canada","Bog forest soil microbial communities from Calvert Island, British Columbia, Canada - ECP04_OM2 (Bog Forest metaG ECP04OM2, ASSEMBLY_DATE=20140815)",DOE Joint Genome Institute (JGI),3300003223,,,Environmental,Aquatic,Wetlands,Freshwater,,Bog forest soil,,,53352431,142636,"Bog forest soil microbial communities from Calvert Island, British Columbia, Canada - ECP04_OM2 (Bog Forest metaG ECP04OM2, ASSEMBLY_DATE=20140815)",8555,0.059977846
3300001124,*Microbiome,Draft,"Forest soil microbial communities from Douglas fir zone in British Columbia and Gulf Coastal Plain in Texas, USA","Forest soil microbial communities from Thunder Bay, Ontario, Canada - Black Spruce, Ontario site 2_A8_Ref_O3 (Black Spruce, Ontario site 2_A8_Ref_O3, ASSEMBLY_DATE=20130227)",DOE Joint Genome Institute (JGI),3300001124,450,,Environmental,Terrestrial,Loam,Soil,,Forest soil,,,35909008,104536,"Forest soil microbial communities from Thunder Bay, Ontario, Canada - Black Spruce, Ontario site 2_A8_Ref_O3 (Black Spruce, Ontario site 2_A8_Ref_O3, ASSEMBLY_DATE=20130227)",6256,0.059845412
3300001182,*Microbiome,Draft,"Forest soil microbial communities from Douglas fir zone in British Columbia and Gulf Coastal Plain in Texas, USA","Forest soil microbial communities from Algoma, Ontario, Canada - Jack Pine, Ontario site 1_JW_OM1H0_M2 (Jack Pine, Ontario site 1_JW_OM1H0_M2, ASSEMBLY_DATE=20130306)",DOE Joint Genome Institute (JGI),3300001182,228,,Environmental,Terrestrial,Loam,Soil,,Forest soil,,,36853430,112932,"Forest soil microbial communities from Algoma, Ontario, Canada - Jack Pine, Ontario site 1_JW_OM1H0_M2 (Jack Pine, Ontario site 1_JW_OM1H0_M2, ASSEMBLY_DATE=20130306)",6587,0.058327135
3300001205,*Microbiome,Draft,"Soil microbial communities from Mediterranean grasslands, California","Grasslands soil microbial communities from Hopland, California, USA - 2 (Hopland Soil Metagenome 2, ASSEMBLY_DATE=20130311)",DOE Joint Genome Institute (JGI),3300001205,,,Environmental,Terrestrial,Loam,Soil,,Soil,,,217197900,689301,"Grasslands soil microbial communities from Hopland, California, USA - 2 (Hopland Soil Metagenome 2, ASSEMBLY_DATE=20130311)",39382,0.057133241
3300009010,*Microbiome,Draft,"Arctic peat soil microbial communities from the Barrow Environmental Observatory site, Barrow, Alaska, USA","Arctic peat soil microbial communities from the Barrow Environmental Observatory site, Barrow, Alaska, USA - NGEE PermafrostAB136-I",DOE Joint Genome Institute (JGI),3300009010,,,Environmental,Terrestrial,Unclassified,Soil,,Arctic peat soil,,,70790116,159718,"Arctic peat soil microbial communities from the Barrow Environmental Observatory site, Barrow, Alaska, USA - NGEE PermafrostAB136-I",8955,0.056067569
3300000095,*Microbiome,Finished,Soil microbial communities from four geographically distinct crusts in the Colorado Plateau and Sonoran desert,"Soil microbial communities from Colorado Plateau, Green Butte sample - Light Crust, Colorado Plateau, Green Butte 2 (Light Crust Colorado Plateau Green Butte 2, Oct 2011 assem)",DOE Joint Genome Institute (JGI),3300000095,1340m,,Environmental,Terrestrial,Sand,Soil,,Soil,,,187470877,491453,"Soil microbial communities from Colorado Plateau, Green Butte sample - Light Crust, Colorado Plateau, Green Butte 2 (Light Crust Colorado Plateau Green Butte 2, Oct 2011 assem)",27246,0.055439686
3300000123,*Microbiome,Draft,Marine microbial communities from chronically polluted sediments in four geographic locations,"Marine microbial communities from chronically polluted sediments in Antarctica - King George Island site S2 sample ANT 06_23.45m (King George Island site S2 sample ANT 06_23.45m, Oct 2011 Assem)",DOE Joint Genome Institute (JGI),3300000123,15m,23.45m,Environmental,Aquatic,Intertidal zone,Marine,,Marine,,,87052102,101505,"Marine microbial communities from chronically polluted sediments in Antarctica - King George Island site S2 sample ANT 06_23.45m (King George Island site S2 sample ANT 06_23.45m, Oct 2011 Assem)",5578,0.054952958
3300000118,*Microbiome,Draft,Marine microbial communities from chronically polluted sediments in four geographic locations,"Marine microbial communities from chronically polluted sediments in Tierra del Fuego - site OR sample ARG 06_12.3m (Tierra del Fuego site OR sample ARG 06_12.3m, Oct 2011 Assem)",DOE Joint Genome Institute (JGI),3300000118,10m,12.3m,Environmental,Aquatic,Intertidal zone,Marine,,Marine,,,65605680,188499,"Marine microbial communities from chronically polluted sediments in Tierra del Fuego - site OR sample ARG 06_12.3m (Tierra del Fuego site OR sample ARG 06_12.3m, Oct 2011 Assem)",10121,0.053692593
3300001305,*Microbiome,Draft,"Soil microbial communities from Mediterranean grasslands, California","Grasslands soil microbial communities from Hopland, California, USA (Hopland Soil Metagenome 1, ASSEMBLY_DATE=20130327)",DOE Joint Genome Institute (JGI),3300001305,,,Environmental,Terrestrial,Loam,Soil,,Soil,,,713287419,1976082,"Grasslands soil microbial communities from Hopland, California, USA (Hopland Soil Metagenome 1, ASSEMBLY_DATE=20130327)",103817,0.052536787
3300003503,*Microbiome,Draft,"Arabidopsis thaliana rhizosphere microbial communities from the Joint Genome Institute, USA, that affect carbon cycling","Arabidopsis thaliana rhizosphere microbial communities from the Joint Genome Institute, USA, that affect carbon cycling -  Inoculated plant M3 S AM (Arabidopsis thaliana rhizosphere microbial communities from the Joint Genome Institute, USA, that affect carbon cycling -  Inoculated plant M3 S AM, ASSEMBLY_DATE=20141001)",DOE Joint Genome Institute (JGI),3300003503,,,Host-associated,Plants,Epiphytes,Rhizoplane,,Arabidopsis thaliana rhizosphere,,,46414042,130600,"Arabidopsis thaliana rhizosphere microbial communities from the Joint Genome Institute, USA, that affect carbon cycling -  Inoculated plant M3 S AM (Arabidopsis thaliana rhizosphere microbial communities from the Joint Genome Institute, USA, that affect carbon cycling -  Inoculated plant M3 S AM, ASSEMBLY_DATE=20141001)",6848,0.052434916
3300001547,*Microbiome,Draft,Wetland microbial communities from Twitchell Island in the Sacramento Delta,"Wetland microbial communities from Twitchell Island in the Sacramento Delta, sample from surface sediment Aug2011 Site C1 Bulk (Wetland Surface Sediment Aug2011 Site C1 Bulk Metagenome, ASSEMBLY_DATE=20130530)",DOE Joint Genome Institute (JGI),3300001547,0m,0m,Environmental,Aquatic,Groundwater,Freshwater,,Wetland,,,160092211,432551,"Wetland microbial communities from Twitchell Island in the Sacramento Delta, sample from surface sediment Aug2011 Site C1 Bulk (Wetland Surface Sediment Aug2011 Site C1 Bulk Metagenome, ASSEMBLY_DATE=20130530)",22501,0.052019299
3300001087,*Microbiome,Draft,"Forest soil microbial communities from Douglas fir zone in British Columbia and Gulf Coastal Plain in Texas, USA","Forest soil microbial communities from Algoma, Ontario, Canada - Jack Pine, Ontario site 1_JW_OM2H0_O3 (Jack Pine, Ontario site 1_JW_OM2H0_O3, ASSEMBLY_DATE=20130220)",DOE Joint Genome Institute (JGI),3300001087,228,,Environmental,Terrestrial,Loam,Soil,,Forest soil,,,47611826,119844,"Forest soil microbial communities from Algoma, Ontario, Canada - Jack Pine, Ontario site 1_JW_OM2H0_O3 (Jack Pine, Ontario site 1_JW_OM2H0_O3, ASSEMBLY_DATE=20130220)",6064,0.050599112
3300003224,*Microbiome,Draft,"Bog forest soil microbial communities from Calvert Island, British Columbia, Canada","Bog forest soil microbial communities from Calvert Island, British Columbia, Canada - ECP04_OM3 (Bog Forest metaG ECP04OM3, ASSEMBLY_DATE=20140815)",DOE Joint Genome Institute (JGI),3300003224,,,Environmental,Aquatic,Wetlands,Freshwater,,Bog forest soil,,,65503514,179033,"Bog forest soil microbial communities from Calvert Island, British Columbia, Canada - ECP04_OM3 (Bog Forest metaG ECP04OM3, ASSEMBLY_DATE=20140815)",8971,0.050108081
3300003351,*Microbiome,Draft,"Bog forest soil microbial communities from Calvert Island, British Columbia, Canada","Bog forest soil microbial communities from Calvert Island, British Columbia, Canada - ECP14_OM2 (Bog forest soil microbial communities from Calvert Island, British Columbia, Canada - ECP14_OM2, ASSEMBLY_DATE=20140825)",DOE Joint Genome Institute (JGI),3300003351,,,Environmental,Aquatic,Wetlands,Freshwater,,Bog forest soil,,,84103997,222846,"Bog forest soil microbial communities from Calvert Island, British Columbia, Canada - ECP14_OM2 (Bog forest soil microbial communities from Calvert Island, British Columbia, Canada - ECP14_OM2, ASSEMBLY_DATE=20140825)",10725,0.048127406
3300000651,*Microbiome,Draft,"Forest soil microbial communities from Amazon Forest, Brazil","Forest soil microbial communities from Amazon forest - Pasture72 2010 replicate I A10 (Amazon Pasture72 2010 replicate I A10, April 2012 Assem)",DOE Joint Genome Institute (JGI),3300000651,,,Environmental,Terrestrial,Unclassified,Soil,,Forest soil,,,155914064,453690,"Forest soil microbial communities from Amazon forest - Pasture72 2010 replicate I A10 (Amazon Pasture72 2010 replicate I A10, April 2012 Assem)",21518,0.047428861
3300001145,*Microbiome,Draft,"Forest soil microbial communities from Douglas fir zone in British Columbia and Gulf Coastal Plain in Texas, USA","Forest soil microbial communities from Thunder Bay, Ontario, Canada - Black Spruce, Ontario site 2_A8_OM3_M2 (Black Spruce, Ontario site 2_A8_OM3_M2, ASSEMBLY_DATE=20130226)",DOE Joint Genome Institute (JGI),3300001145,450,,Environmental,Terrestrial,Loam,Soil,,Forest soil,,,50776636,137987,"Forest soil microbial communities from Thunder Bay, Ontario, Canada - Black Spruce, Ontario site 2_A8_OM3_M2 (Black Spruce, Ontario site 2_A8_OM3_M2, ASSEMBLY_DATE=20130226)",6392,0.046323204
3300001978,*Microbiome,Draft,"Corn, switchgrass and miscanthus rhizosphere microbial communities from Kellogg Biological Station, Michigan, USA","Miscanthus rhizosphere microbial communities from Kellogg Biological Station, Michigan, USA - M6 (KBS Miscanthus M6, ASSEMBLY_DATE=20131023)",DOE Joint Genome Institute (JGI),3300001978,288m,,Host-associated,Plants,Epiphytes,Rhizoplane,,"Corn, switchgrass and miscanthus rhizosphere ",,,146205161,449990,"Miscanthus rhizosphere microbial communities from Kellogg Biological Station, Michigan, USA - M6 (KBS Miscanthus M6, ASSEMBLY_DATE=20131023)",19745,0.043878753
3300001180,*Microbiome,Draft,"Forest soil microbial communities from Douglas fir zone in British Columbia and Gulf Coastal Plain in Texas, USA","Forest soil microbial communities from Thunder Bay, Ontario, Canada - Black Spruce, Ontario site 2_A8_OM2_M3 (Black Spruce, Ontario site 2_A8_OM2_M3, ASSEMBLY_DATE=20130311)",DOE Joint Genome Institute (JGI),3300001180,450,,Environmental,Terrestrial,Loam,Soil,,Forest soil,,,53220358,150117,"Forest soil microbial communities from Thunder Bay, Ontario, Canada - Black Spruce, Ontario site 2_A8_OM2_M3 (Black Spruce, Ontario site 2_A8_OM2_M3, ASSEMBLY_DATE=20130311)",6455,0.042999793
3300001414,*Microbiome,Draft,"Arctic peat soil microbial communities from the Barrow Environmental Observatory site, Barrow, Alaska, USA","Arctic peat soil from Barrow, Alaska - NGEE Surface sample 210-1 shallow-072012 (NGEE Surface sample 210-1 shallow-072012, ASSEMBLY_DATE=20130514)",DOE Joint Genome Institute (JGI),3300001414,5m,,Environmental,Terrestrial,Unclassified,Soil,,Arctic peat soil,,,33167563,101061,"Arctic peat soil from Barrow, Alaska - NGEE Surface sample 210-1 shallow-072012 (NGEE Surface sample 210-1 shallow-072012, ASSEMBLY_DATE=20130514)",4323,0.042776145
